Drug1_ID,Drug2_ID,Y,Neg samples
DB00956,DB00474,15,DB00584$t
DB00567,DB01026,46,DB00331$h
DB00866,DB00184,48,DB00210$t
DB01440,DB01587,48,DB00425$h
DB00250,DB00091,46,DB09292$h
DB08922,DB08933,72,DB00606$t
DB00295,DB01081,48,DB01211$t
DB00252,DB00665,3,DB00712$h
DB06695,DB00806,5,DB11609$h
DB01236,DB12532,48,DB02709$h
DB09241,DB06268,59,DB00736$h
DB00864,DB01601,46,DB00903$h
DB00735,DB06781,48,DB00354$h
DB01320,DB11614,3,DB00806$h
DB01356,DB00768,72,DB06217$t
DB08918,DB01029,46,DB01009$t
DB01216,DB00243,46,DB12364$t
DB00655,DB00320,46,DB06335$t
DB00631,DB01020,48,DB01489$t
DB00753,DB01463,48,DB01598$h
DB01183,DB00705,46,DB06802$t
DB01615,DB05271,31,DB00570$t
DB00615,DB01153,72,DB04911$h
DB00897,DB00807,48,DB01135$h
DB00794,DB04743,3,DB09570$h
DB00215,DB00932,46,DB00933$t
DB11093,DB01583,69,DB01601$t
DB01421,DB00328,71,DB11574$t
DB00619,DB09291,72,DB00999$t
DB00420,DB00104,19,DB01339$h
DB00850,DB00750,48,DB11126$t
DB00415,DB00684,74,DB00950$t
DB00448,DB01095,46,DB01188$t
DB01076,DB06210,72,DB00346$t
DB00598,DB06826,59,DB00415$t
DB08922,DB00270,46,DB06217$t
DB06739,DB06413,46,DB00427$h
DB01227,DB08933,72,DB01206$t
DB01234,DB02703,72,DB01378$h
DB00492,DB01592,48,DB00674$h
DB00528,DB01324,59,DB09227$h
DB13872,DB00747,48,DB00314$t
DB00818,DB01563,48,DB00432$h
DB06772,DB00631,48,DB00717$h
DB01194,DB01149,72,DB09104$h
DB01165,DB01036,19,DB06696$t
DB06176,DB00619,46,DB00841$t
DB00273,DB01196,74,DB09009$h
DB00359,DB05219,46,DB06825$h
DB00708,DB08873,46,DB00575$t
DB00468,DB01259,19,DB00832$t
DB00418,DB11560,3,DB08873$t
DB00950,DB04896,48,DB00195$h
DB09124,DB00266,69,DB06262$t
DB08896,DB09118,72,DB00990$t
DB08880,DB01059,26,DB00419$t
DB00631,DB00622,48,DB01205$h
DB12070,DB08880,72,DB00445$t
DB01041,DB00966,48,DB08889$h
DB00745,DB00227,46,DB01576$t
DB09477,DB00812,48,DB09020$t
DB08916,DB00726,72,DB00221$t
DB01224,DB08933,72,DB00953$t
DB00280,DB08873,46,DB05381$t
DB00182,DB09128,60,DB06691$h
DB00404,DB01161,48,DB00864$h
DB00850,DB01267,48,DB09072$t
DB11636,DB11268,69,DB00497$h
DB00943,DB06414,46,DB08800$t
DB00889,DB01254,72,DB08865$t
DB00261,DB00201,46,DB06691$t
DB01020,DB01214,48,DB00328$t
DB08987,DB00470,15,DB08800$t
DB00356,DB00980,48,DB00765$t
DB01041,DB06738,15,DB06737$t
DB01058,DB05521,46,DB00368$t
DB06696,DB01396,74,DB06826$h
DB00615,DB01128,3,DB01615$h
DB08907,DB09048,72,DB00334$h
DB00814,DB01095,46,DB00934$t
DB00919,DB09215,71,DB08965$h
DB00318,DB01618,48,DB00392$h
DB00835,DB00619,46,DB09396$t
DB00628,DB01069,48,DB11596$h
DB01030,DB00915,72,DB01149$t
DB00796,DB08880,48,DB11574$t
DB00514,DB00857,46,DB00765$t
DB01166,DB01601,72,DB01022$t
DB08864,DB00976,72,DB04918$h
DB00925,DB01054,59,DB01174$t
DB00850,DB06413,46,DB01656$t
DB13872,DB00555,48,DB00203$h
DB00215,DB09074,46,DB01431$t
DB00465,DB01325,69,DB01253$h
DB04844,DB00556,19,DB09543$h
DB09167,DB01319,72,DB08957$h
DB00413,DB09292,48,DB00745$t
DB06153,DB00215,48,DB00323$t
DB00448,DB00263,46,DB00210$h
DB01081,DB01018,48,DB09477$h
DB00949,DB09330,72,DB00346$t
DB01440,DB00625,48,DB00243$h
DB00945,DB01026,46,DB01626$h
DB00744,DB09074,46,DB01275$t
DB00946,DB00554,5,DB01299$t
DB01615,DB01117,72,DB00764$t
DB01041,DB00564,15,DB01248$t
DB08880,DB01182,74,DB08912$t
DB01353,DB06282,48,DB00293$t
DB00443,DB01208,48,DB13450$t
DB00604,DB00625,46,DB00929$h
DB00818,DB01551,48,DB01067$t
DB00925,DB01580,59,DB09223$h
DB01192,DB00215,46,DB01583$t
DB00252,DB08943,72,DB06152$t
DB00723,DB00320,70,DB11817$t
DB00953,DB06216,48,DB08987$t
DB00537,DB01591,19,DB00887$h
DB04948,DB00384,48,DB09221$t
DB00575,DB09120,46,DB09279$t
DB04868,DB06210,72,DB08882$t
DB01320,DB01628,3,DB06152$h
DB08905,DB00779,48,DB01041$h
DB04896,DB01551,63,DB04339$h
DB06699,DB00511,57,DB00658$t
DB01136,DB01211,46,DB09555$t
DB00872,DB00250,72,DB01008$h
DB00571,DB09070,59,DB11363$h
DB06810,DB04552,71,DB09117$h
DB00699,DB01241,48,DB01215$t
DB09286,DB00427,48,DB09268$h
DB00215,DB00320,48,DB00527$t
DB01351,DB00458,3,DB09241$h
DB00838,DB00655,72,DB00923$h
DB00335,DB01214,48,DB09068$h
DB00215,DB06825,19,DB01078$t
DB00395,DB00705,46,DB00421$t
DB06770,DB00321,48,DB01106$h
DB08797,DB06826,69,DB11231$h
DB00261,DB00889,19,DB01208$t
DB09218,DB00620,48,DB08799$h
DB00956,DB04855,72,DB00998$h
DB00178,DB00964,48,DB00321$h
DB00477,DB00270,19,DB09288$h
DB01242,DB01162,48,DB00709$h
DB01215,DB00323,48,DB06723$h
DB00327,DB09166,48,DB00943$h
DB01615,DB12532,48,DB00321$h
DB01235,DB04896,48,DB00213$h
DB00177,DB01214,48,DB00528$h
DB06292,DB09241,8,DB09322$h
DB00633,DB08872,48,DB00380$t
DB00691,DB01214,48,DB08983$t
DB00989,DB00392,69,DB09153$h
DB00831,DB00996,48,DB01378$t
DB01037,DB00489,48,DB00990$t
DB00425,DB08933,72,DB00335$h
DB00384,DB00622,48,DB01005$t
DB00203,DB06695,72,DB11231$t
DB01592,DB01390,66,DB08864$t
DB06781,DB00467,48,DB00719$h
DB00204,DB01026,72,DB00621$h
DB06335,DB00976,72,DB00639$h
DB01186,DB01149,46,DB03128$t
DB01045,DB01026,3,DB08824$h
DB00812,DB02709,48,DB06261$t
DB01058,DB08881,72,DB09256$t
DB00563,DB00554,72,DB01071$h
DB00728,DB00445,39,DB08905$t
DB09242,DB00925,59,DB00619$t
DB00734,DB06144,48,DB00990$t
DB06654,DB08865,46,DB11256$t
DB06402,DB08871,19,DB00462$h
DB00774,DB01041,48,DB11636$t
DB00184,DB00264,46,DB05351$t
DB00203,DB01244,9,DB01553$h
DB00384,DB01435,36,DB00870$h
DB00373,DB00613,46,DB01411$t
DB00860,DB01021,82,DB06777$h
DB00925,DB01210,48,DB08905$h
DB00253,DB00843,48,DB00512$h
DB08987,DB00476,48,DB09125$t
DB00623,DB09342,48,DB09499$t
DB09477,DB01113,48,DB09020$t
DB00454,DB00608,46,DB00488$h
DB00503,DB04876,69,DB00615$t
DB01320,DB08958,74,DB00742$t
DB00320,DB00819,48,DB00876$t
DB09220,DB00925,59,DB06730$h
DB06712,DB06826,59,DB01100$h
DB00639,DB01023,48,DB01233$t
DB06742,DB00619,46,DB08905$t
DB06154,DB01609,48,DB01427$h
DB06267,DB01324,9,DB01117$h
DB06144,DB00208,46,DB05239$t
DB00782,DB00956,48,DB00617$t
DB01021,DB01193,59,DB09223$h
DB00633,DB08822,48,DB01219$h
DB09555,DB00320,46,DB00875$h
DB00831,DB01151,48,DB09275$t
DB00285,DB08933,72,DB03128$t
DB01608,DB00250,72,DB00699$t
DB00393,DB08933,72,DB06717$h
DB12161,DB08873,46,DB09292$t
DB00287,DB00571,59,DB01219$t
DB00564,DB00843,3,DB01333$h
DB00906,DB05521,46,DB06145$t
DB09280,DB11560,74,DB00545$h
DB00966,DB06739,48,DB09241$t
DB00820,DB09330,72,DB00721$h
DB00612,DB08931,48,DB01021$t
DB01059,DB00511,57,DB01175$t
DB00958,DB00511,57,DB06210$t
DB00655,DB08934,74,DB00647$h
DB00710,DB00694,23,DB00613$h
DB08798,DB00205,46,DB00751$h
DB00876,DB00519,48,DB00772$t
DB06414,DB03793,72,DB01221$t
DB01580,DB00215,48,DB00410$t
DB00514,DB00673,72,DB01614$h
DB00420,DB00543,19,DB01433$h
DB01544,DB08933,72,DB00803$t
DB09166,DB00224,72,DB06803$t
DB06201,DB00408,48,DB00317$t
DB13450,DB01578,39,DB00635$t
DB00814,DB00257,46,DB09082$t
DB01083,DB00628,74,DB08864$h
DB08901,DB00675,46,DB08796$h
DB06152,DB00852,48,DB00080$h
DB01377,DB06781,2,DB00780$t
DB08828,DB06717,72,DB09156$h
DB00831,DB01588,48,DB01045$t
DB06237,DB00346,59,DB06696$t
DB00571,DB00673,72,DB00774$t
DB00571,DB00500,36,DB01390$t
DB06700,DB00976,46,DB01369$t
DB00371,DB00850,48,DB00692$h
DB00849,DB13025,48,DB00162$h
DB00336,DB00496,46,DB00462$t
DB05351,DB09118,72,DB04896$t
DB01418,DB00763,11,DB06155$t
DB00350,DB01023,48,DB00556$h
DB00997,DB00768,71,DB12598$h
DB01591,DB06204,48,DB09070$t
DB09009,DB09128,48,DB09130$h
DB01580,DB00356,48,DB11239$h
DB00214,DB00876,48,DB00666$h
DB01463,DB00241,48,DB01138$t
DB00006,DB09215,5,DB11574$t
DB06217,DB01118,46,DB01130$t
DB01394,DB00608,72,DB00723$t
DB00694,DB00768,71,DB01433$t
DB00465,DB00620,48,DB01149$t
DB00793,DB01023,48,DB11574$t
DB00794,DB00976,3,DB00605$h
DB00321,DB04953,48,DB05316$t
DB00854,DB09244,48,DB00948$t
DB00735,DB04743,48,DB00120$t
DB00318,DB08865,46,DB00999$t
DB00359,DB00182,8,DB09061$h
DB00736,DB00501,46,DB00187$t
DB12070,DB01601,46,DB00489$t
DB11148,DB05246,48,DB09040$t
DB01320,DB11362,3,DB00775$h
DB00818,DB09291,46,DB13450$h
DB00395,DB00653,15,DB00981$h
DB00780,DB01064,48,DB13878$t
DB00213,DB00745,46,DB00658$t
DB00514,DB04946,48,DB06637$t
DB01036,DB01337,48,DB01058$h
DB02709,DB04951,48,DB00887$t
DB06736,DB08964,69,DB00953$t
DB01198,DB01351,48,DB01150$h
DB00203,DB00715,46,DB00229$t
DB00718,DB00300,69,DB00199$t
DB09555,DB00834,72,DB00710$h
DB09555,DB00091,46,DB00812$t
DB00412,DB09167,46,DB02703$t
DB00696,DB11574,48,DB00338$h
DB01236,DB00999,48,DB00715$t
DB00960,DB00744,36,DB00639$h
DB00475,DB09167,46,DB00871$h
DB00710,DB00798,23,DB00331$t
DB01214,DB01250,36,DB00803$h
DB00182,DB09244,70,DB00252$t
DB08910,DB09167,72,DB13025$t
DB09075,DB00201,72,DB08880$t
DB00469,DB01609,48,DB01118$h
DB00870,DB09095,48,DB00402$h
DB01628,DB01021,69,DB00572$t
DB00498,DB00655,11,DB00798$h
DB09078,DB01149,46,DB08993$h
DB01047,DB00487,48,DB00864$h
DB05294,DB01623,19,DB01021$h
DB00960,DB00768,36,DB00751$t
DB04574,DB00890,72,DB01122$t
DB00182,DB01356,48,DB13025$h
DB00346,DB00287,59,DB01369$h
DB01595,DB00721,48,DB00915$h
DB09075,DB00554,5,DB09269$h
DB00854,DB01267,48,DB01364$h
DB01348,DB00870,48,DB00553$t
DB08881,DB06282,74,DB00784$h
DB04743,DB09270,48,DB00577$h
DB00232,DB00270,48,DB00832$t
DB00216,DB01124,46,DB06813$t
DB00752,DB00593,48,DB08943$h
DB00870,DB11660,69,DB00163$t
DB09038,DB00752,8,DB09102$h
DB00843,DB00472,46,DB00605$t
DB01058,DB06290,72,DB00530$t
DB01236,DB00932,52,DB01618$t
DB01349,DB01014,48,DB11636$h
DB04841,DB00608,46,DB00321$t
DB00328,DB00544,46,DB00555$t
DB09215,DB00547,48,DB08911$h
DB00502,DB05812,72,DB09300$t
DB01351,DB00252,48,DB05351$t
DB00648,DB00203,74,DB00357$h
DB00699,DB00820,48,DB00781$t
DB08797,DB06781,48,DB00401$h
DB00731,DB00244,8,DB11560$t
DB08911,DB06335,74,DB04552$h
DB09143,DB01092,57,DB00568$t
DB09078,DB01259,19,DB01153$h
DB01595,DB00494,48,DB00378$h
DB00459,DB09123,69,DB01365$t
DB00604,DB00915,19,DB01214$t
DB03615,DB00814,71,DB01181$h
DB01320,DB09031,74,DB00384$h
DB00514,DB06603,72,DB01433$h
DB01220,DB09235,74,DB11348$t
DB01166,DB08933,72,DB00518$t
DB00530,DB05219,46,DB09112$h
DB09183,DB00608,46,DB06210$t
DB00571,DB00742,48,DB00585$t
DB00178,DB00226,59,DB01553$h
DB00918,DB11699,63,DB00591$h
DB00373,DB08880,36,DB06782$h
DB06772,DB01268,48,DB00865$h
DB00696,DB02709,48,DB01415$h
DB00679,DB00675,72,DB09124$t
DB01035,DB02546,19,DB00296$t
DB00991,DB00678,46,DB00304$t
DB00398,DB06210,72,DB00441$t
DB00443,DB01406,73,DB00870$t
DB01339,DB01397,20,DB01351$h
DB00857,DB00625,46,DB05812$h
DB00981,DB00908,69,DB01349$h
DB01600,DB01047,48,DB00275$t
DB00641,DB05219,46,DB01301$t
DB00499,DB00976,46,DB01036$t
DB00655,DB01264,46,DB00760$t
DB00619,DB01118,72,DB00233$t
DB00655,DB04573,72,DB01411$h
DB01206,DB00169,46,DB01014$t
DB00619,DB00359,46,DB00275$t
DB09009,DB00593,48,DB00766$t
DB00599,DB00470,15,DB02546$t
DB01440,DB00321,48,DB00819$t
DB01094,DB00215,46,DB01601$t
DB00318,DB06594,48,DB01216$h
DB06201,DB09224,48,DB00203$h
DB01214,DB00715,72,DB01009$t
DB00680,DB09275,66,DB08932$t
DB01320,DB09273,74,DB00476$h
DB00608,DB01399,48,DB08798$h
DB01021,DB01090,72,DB09295$t
DB01204,DB09291,72,DB09488$h
DB01615,DB00434,48,DB01365$t
DB00780,DB00333,48,DB01019$h
DB00850,DB00320,46,DB00680$h
DB00242,DB00511,57,DB00981$t
DB00615,DB09054,74,DB00554$h
DB00768,DB00795,48,DB00339$h
DB01618,DB00323,48,DB00341$h
DB01551,DB09235,48,DB00766$h
DB01612,DB00476,29,DB00876$t
DB00889,DB00468,46,DB01029$t
DB08873,DB06717,72,DB00205$t
DB09038,DB06412,8,DB09125$t
DB00418,DB01214,59,DB09278$t
DB08918,DB08881,72,DB02703$h
DB00402,DB00189,48,DB09130$h
DB01088,DB09543,48,DB01206$t
DB00497,DB00264,46,DB00514$h
DB09330,DB01075,74,DB00906$h
DB00554,DB00300,48,DB00296$h
DB00448,DB00213,46,DB09138$t
DB01183,DB00246,46,DB00978$t
DB00690,DB01209,48,DB08802$h
DB00554,DB00999,69,DB05351$t
DB00252,DB06212,74,DB09125$t
DB12267,DB02703,72,DB01034$h
DB09244,DB06826,59,DB09038$h
DB06212,DB00254,72,DB01366$h
DB00564,DB09118,72,DB04911$t
DB01409,DB01211,46,DB00273$t
DB01614,DB01203,59,DB09009$h
DB00402,DB06770,48,DB09273$t
DB09076,DB12278,1,DB00543$h
DB00475,DB01601,46,DB00843$t
DB09117,DB01351,15,DB00465$h
DB00193,DB01161,48,DB09322$h
DB00679,DB00619,72,DB00277$h
DB01590,DB00831,72,DB00229$h
DB11126,DB06410,48,DB08983$t
DB01384,DB01208,48,DB00803$t
DB01329,DB01032,72,DB00599$t
DB00876,DB00945,48,DB00954$h
DB00854,DB00924,48,DB00419$t
DB00843,DB01118,46,DB01068$t
DB09048,DB06603,72,DB00487$h
DB06196,DB08964,69,DB00970$t
DB01215,DB01026,72,DB00929$h
DB00321,DB00726,48,DB04794$t
DB00402,DB00593,48,DB01264$t
DB01242,DB00925,48,DB00947$t
DB01080,DB04844,48,DB06729$t
DB00843,DB00440,46,DB00480$t
DB05381,DB00359,46,DB06810$t
DB00645,DB01587,48,DB00917$h
DB00615,DB08907,3,DB01199$h
DB00219,DB00273,48,DB01609$t
DB01199,DB01035,20,DB01463$h
DB01236,DB11148,48,DB00718$h
DB09477,DB00735,48,DB00257$t
DB04861,DB01366,13,DB00903$h
DB00261,DB00420,19,DB12026$h
DB00327,DB00831,48,DB11613$h
DB00199,DB01236,19,DB00970$t
DB00571,DB01024,36,DB01093$h
DB00690,DB00924,48,DB11610$t
DB06654,DB00246,46,DB00780$h
DB00393,DB00869,59,DB06770$h
DB00252,DB05246,3,DB01221$h
DB00454,DB01149,46,DB04865$t
DB00898,DB00850,15,DB01592$t
DB00679,DB04896,48,DB00969$t
DB01198,DB00296,48,DB04711$t
DB08880,DB00884,48,DB00696$t
DB09041,DB09236,48,DB00504$t
DB00925,DB00243,46,DB08908$t
DB00798,DB00511,74,DB01116$h
DB00356,DB00705,46,DB01099$t
DB13872,DB01621,48,DB04786$h
DB00266,DB01607,5,DB09038$h
DB06201,DB04946,48,DB00891$h
DB09342,DB09072,15,DB00476$h
DB00454,DB01463,48,DB00655$t
DB01229,DB00441,48,DB09183$h
DB00731,DB09241,8,DB01431$h
DB00313,DB00244,72,DB00823$h
DB00371,DB00575,48,DB00653$h
DB00794,DB00575,3,DB01489$h
DB00318,DB00753,48,DB09147$h
DB00317,DB00215,46,DB00615$t
DB00628,DB01254,72,DB00837$t
DB00409,DB00633,48,DB01019$t
DB00575,DB06292,48,DB00182$h
DB00947,DB01078,57,DB01115$t
DB01169,DB00575,48,DB00672$h
DB00243,DB00690,72,DB00166$h
DB00753,DB00296,48,DB06771$h
DB00321,DB12332,46,DB01062$t
DB01104,DB01081,63,DB09015$t
DB09117,DB01041,15,DB09488$t
DB01130,DB01406,73,DB01214$t
DB00922,DB09292,48,DB09245$h
DB00854,DB00801,48,DB06810$t
DB08918,DB01100,48,DB01369$h
DB01355,DB09477,59,DB00933$h
DB00690,DB00961,48,DB11817$t
DB01199,DB06702,48,DB01259$h
DB06414,DB06413,46,DB01599$t
DB01255,DB01615,60,DB00940$h
DB04844,DB00196,19,DB00596$t
DB01397,DB01208,74,DB01201$h
DB00608,DB00104,19,DB00819$h
DB00889,DB00176,46,DB00136$t
DB00433,DB01214,59,DB01131$t
DB00631,DB01242,48,DB09449$t
DB01214,DB09070,59,DB01016$t
DB04896,DB00279,69,DB00254$t
DB00457,DB00678,48,DB09167$t
DB09093,DB00415,69,DB00839$h
DB04574,DB06412,73,DB00489$t
DB00945,DB06826,69,DB00367$h
DB06716,DB09166,48,DB11636$t
DB01248,DB00990,48,DB00267$t
DB09039,DB00370,19,DB01599$t
DB01567,DB12532,48,DB01299$h
DB00606,DB01392,36,DB00146$t
DB00842,DB00203,46,DB00736$t
DB00203,DB00283,46,DB00723$h
DB00956,DB00188,72,DB09262$t
DB08931,DB00283,46,DB00080$h
DB00937,DB06282,75,DB01078$h
DB00682,DB00838,5,DB09134$h
DB00572,DB00979,48,DB11575$t
DB04930,DB08933,72,DB09166$t
DB01200,DB00384,48,DB00562$h
DB08864,DB00678,72,DB01001$h
DB05039,DB01021,82,DB09223$t
DB00327,DB00395,48,DB00331$h
DB00628,DB00765,31,DB09073$t
DB00956,DB00996,15,DB01199$h
DB01041,DB00285,48,DB01184$h
DB00373,DB01600,36,DB01219$t
DB00244,DB00936,56,DB09068$t
DB00603,DB08882,69,DB11699$t
DB00216,DB01104,48,DB11079$t
DB01129,DB01149,46,DB01610$t
DB08896,DB01211,72,DB09078$h
DB01211,DB01075,19,DB01259$h
DB00501,DB00244,69,DB01022$t
DB01103,DB00705,46,DB00301$t
DB01184,DB01356,19,DB04841$t
DB00384,DB00484,48,DB00814$h
DB09244,DB00178,59,DB01206$t
DB00818,DB09345,48,DB00256$t
DB09117,DB00502,15,DB01058$t
DB00706,DB00388,4,DB01411$t
DB00497,DB01104,46,DB02659$t
DB00189,DB04844,48,DB01656$h
DB08905,DB01072,72,DB00309$t
DB09241,DB00867,48,DB05266$t
DB00323,DB00413,31,DB00651$t
DB01267,DB01195,19,DB12924$t
DB06712,DB09330,72,DB01191$t
DB00768,DB00765,31,DB00885$t
DB00875,DB04841,48,DB01216$h
DB09543,DB00588,48,DB09084$t
DB07615,DB01046,69,DB01019$t
DB00870,DB01234,48,DB06689$t
DB00474,DB01236,48,DB01553$t
DB00273,DB01242,48,DB13783$t
DB00500,DB01021,69,DB01583$t
DB01069,DB08918,48,DB01429$h
DB01353,DB01615,48,DB01019$t
DB01233,DB06702,76,DB00142$t
DB00182,DB00455,75,DB00572$h
DB01206,DB01242,46,DB00939$t
DB08877,DB01396,57,DB09020$t
DB00216,DB09042,63,DB13873$h
DB01143,DB00780,48,DB01582$h
DB00788,DB00655,48,DB09477$t
DB00374,DB00869,59,DB00460$h
DB00619,DB04908,48,DB00969$h
DB01403,DB00633,15,DB08896$h
DB00937,DB06144,60,DB00799$h
DB00946,DB00736,72,DB01587$t
DB09039,DB00091,72,DB09223$h
DB01177,DB00870,71,DB05219$t
DB12026,DB00625,46,DB11256$h
DB08873,DB01196,74,DB05239$t
DB08912,DB00613,74,DB00126$h
DB01067,DB01214,8,DB01229$h
DB09280,DB00575,74,DB11093$h
DB01173,DB00203,46,DB00969$t
DB01214,DB01097,36,DB00537$t
DB00547,DB01211,72,DB01154$h
DB08916,DB00345,72,DB06824$t
DB00238,DB06654,3,DB01068$h
DB01058,DB12332,46,DB09561$t
DB05294,DB01069,19,DB00275$t
DB01356,DB04743,72,DB00392$t
DB00187,DB00184,48,DB01452$h
DB09292,DB06292,48,DB09166$h
DB00872,DB06654,72,DB00345$h
DB00752,DB01020,48,DB01191$h
DB00217,DB09477,59,DB00548$h
DB00916,DB00322,46,DB00982$t
DB02546,DB00491,69,DB00508$t
DB00195,DB09235,59,DB00490$h
DB00328,DB08439,48,DB08883$t
DB00780,DB00679,48,DB01603$t
DB01369,DB09268,69,DB00170$t
DB09224,DB06282,48,DB09215$t
DB00778,DB00619,46,DB13873$t
DB01036,DB00320,46,DB01093$h
DB01137,DB01591,19,DB09215$t
DB00613,DB13874,72,DB00954$h
DB00482,DB09330,72,DB00571$t
DB00203,DB00436,9,DB08916$h
DB00216,DB01156,46,DB09030$t
DB00337,DB08905,48,DB00647$t
DB00956,DB01580,15,DB00640$h
DB01095,DB01587,72,DB00718$t
DB01236,DB09224,48,DB01195$h
DB00843,DB00424,69,DB00740$t
DB01601,DB01264,74,DB08964$h
DB01144,DB01162,48,DB13158$h
DB00628,DB01589,48,DB01022$h
DB00854,DB01626,48,DB00879$t
DB05246,DB00208,46,DB00698$t
DB00937,DB00780,70,DB06209$h
DB00801,DB01320,48,DB00250$t
DB06777,DB00203,46,DB00418$h
DB09352,DB01463,60,DB01586$h
DB00880,DB06826,59,DB01127$h
DB00850,DB00835,48,DB01301$h
DB08828,DB00289,46,DB01010$t
DB00623,DB01601,46,DB02703$t
DB00807,DB01437,48,DB01408$t
DB09297,DB00220,46,DB06262$t
DB01013,DB01325,82,DB01135$h
DB01210,DB01611,46,DB08916$t
DB01377,DB08931,74,DB01435$h
DB09166,DB00934,48,DB01280$h
DB01026,DB09216,48,DB00243$t
DB00210,DB00605,48,DB01261$t
DB00178,DB01357,74,DB01319$t
DB09227,DB01023,48,DB00448$t
DB09280,DB00916,74,DB09054$h
DB06595,DB00270,46,DB00257$h
DB06402,DB02546,19,DB00320$h
DB00615,DB01099,72,DB01206$h
DB00850,DB00228,48,DB01216$h
