Drug1_ID,Drug2_ID,Y,Neg samples
DB09324,DB00445,74,DB00631$h
DB01609,DB05381,74,DB09118$t
DB06144,DB09048,72,DB01028$t
DB01175,DB08933,72,DB00841$h
DB00875,DB00710,19,DB00947$h
DB01175,DB00497,63,DB00969$t
DB00628,DB05246,48,DB00613$t
DB00647,DB09166,48,DB01236$t
DB08873,DB00976,46,DB06826$t
DB01036,DB01199,48,DB08889$h
DB00831,DB01214,59,DB00981$t
DB01041,DB00273,15,DB00441$t
DB01609,DB00850,74,DB01583$h
DB01195,DB00869,72,DB09278$h
DB00402,DB00906,48,DB00267$h
DB00575,DB00201,46,DB01149$h
DB01175,DB09048,72,DB00427$h
DB00215,DB09330,72,DB09018$h
DB00328,DB09211,69,DB01299$t
DB00843,DB04871,46,DB01587$t
DB00682,DB08933,72,DB00554$h
DB01591,DB09041,46,DB09338$t
DB01028,DB09342,48,DB00806$t
DB00296,DB00201,46,DB00321$t
DB00678,DB09041,46,DB11586$t
DB00489,DB01600,36,DB00819$t
DB09477,DB02709,48,DB00875$t
DB00998,DB00831,48,DB08877$h
DB00752,DB08918,48,DB04786$t
DB00806,DB06826,59,DB00244$t
DB04844,DB00608,46,DB09166$t
DB01595,DB01161,48,DB00723$t
DB00631,DB09235,48,DB06729$h
DB04871,DB06414,46,DB01085$h
DB00780,DB01023,59,DB01183$h
DB00328,DB06781,48,DB00876$h
DB04896,DB00723,84,DB00502$h
DB00690,DB01601,46,DB00665$t
DB04844,DB09039,46,DB00617$t
DB00814,DB01324,69,DB11699$t
DB00956,DB09166,15,DB01259$t
DB00339,DB00201,46,DB00244$h
DB09235,DB08931,59,DB00336$h
DB00514,DB00619,46,DB11586$t
DB01592,DB01208,74,DB09477$t
DB01028,DB09167,46,DB09040$t
DB01567,DB00215,48,DB11106$h
DB00497,DB00296,48,DB01233$t
DB01214,DB04743,36,DB00841$h
DB00981,DB00489,53,DB00577$t
DB09215,DB09211,69,DB00915$t
DB01601,DB00890,74,DB01326$h
DB00925,DB09292,48,DB00608$t
DB01259,DB08873,72,DB09067$h
DB01349,DB00328,48,DB09018$t
DB00956,DB00818,15,DB11596$t
DB00296,DB01026,46,DB01614$t
DB01615,DB01103,72,DB09223$h
DB01567,DB00906,48,DB13450$h
DB00502,DB00323,48,DB09488$h
DB00976,DB02703,72,DB00270$t
DB00203,DB01149,72,DB11363$h
DB08931,DB05219,46,DB08931$t
DB01587,DB13872,48,DB00956$h
DB00489,DB01211,19,DB01041$h
DB00682,DB06781,5,DB08943$h
DB08931,DB01259,46,DB09211$t
DB00511,DB01339,81,DB13872$h
DB08882,DB00178,48,DB00201$h
DB01609,DB01595,74,DB00120$h
DB00875,DB00976,19,DB09118$t
DB04896,DB00575,84,DB01325$t
DB00956,DB00625,15,DB06654$h
DB00402,DB01463,48,DB00889$h
DB00736,DB00273,46,DB01433$t
DB00976,DB00710,19,DB00890$t
DB00296,DB00619,46,DB01162$t
DB08918,DB00182,48,DB00553$t
DB00476,DB06152,84,DB00575$t
DB09555,DB00502,46,DB00250$t
DB00402,DB09330,72,DB01211$t
DB00395,DB00470,15,DB03756$h
DB00606,DB01214,59,DB00470$t
DB00216,DB00736,46,DB00487$t
DB00502,DB00625,48,DB00710$t
DB01023,DB09477,59,DB09167$h
DB00976,DB01233,19,DB04339$h
DB00420,DB01131,72,DB06212$t
DB01206,DB00420,46,DB01131$t
DB01191,DB01609,72,DB06781$h
DB08882,DB01211,69,DB00432$h
DB00427,DB00215,48,DB00459$t
DB00321,DB01583,81,DB00803$t
DB08916,DB00215,72,DB00613$t
DB00420,DB01214,59,DB00682$t
DB00631,DB00511,57,DB01015$t
DB00321,DB09167,46,DB01216$t
DB00699,DB00780,48,DB00561$h
DB00998,DB01233,48,DB09462$t
DB00843,DB00489,53,DB00273$t
DB00843,DB01026,46,DB09223$t
DB01614,DB01615,48,DB01553$t
DB01320,DB08877,3,DB00990$h
DB01320,DB00318,3,DB00384$h
DB00628,DB04896,48,DB04339$h
DB00625,DB06282,48,DB11574$h
DB00690,DB00470,15,DB09118$t
DB00615,DB01026,3,DB01406$h
DB01600,DB04552,48,DB09241$t
DB00546,DB08873,46,DB11363$t
DB00956,DB09048,72,DB01610$t
DB05294,DB00502,19,DB01021$h
DB00854,DB09015,48,DB02546$h
DB01175,DB01026,46,DB00891$t
DB00814,DB08964,69,DB09462$t
DB00890,DB00990,69,DB00814$h
DB01233,DB12278,69,DB09166$t
DB06144,DB00420,46,DB01324$t
DB01325,DB01175,54,DB00561$h
DB08931,DB00675,46,DB00658$h
DB00615,DB01183,3,DB01595$h
DB00628,DB00215,48,DB00178$t
DB01320,DB01103,3,DB09223$h
DB00575,DB08933,72,DB09338$h
DB00850,DB00807,48,DB00546$h
DB01595,DB13872,48,DB05381$t
DB00615,DB01149,3,DB08877$h
DB01324,DB00273,82,DB04876$h
DB00990,DB00511,57,DB08905$t
DB01206,DB04871,46,DB00402$t
DB00682,DB08905,5,DB04911$h
DB06144,DB09009,48,DB01595$t
DB00321,DB04876,72,DB01023$t
DB00628,DB00356,48,DB09215$h
DB01601,DB00529,19,DB01216$h
DB09477,DB00244,36,DB02701$t
DB00201,DB08873,46,DB00631$t
DB00339,DB01601,46,DB04876$h
DB01609,DB00296,74,DB08905$t
DB00420,DB01268,19,DB08983$h
DB00625,DB00768,48,DB09278$h
DB00875,DB00818,19,DB09324$t
DB00615,DB01141,72,DB00854$t
DB00182,DB00497,48,DB08957$h
DB04844,DB13025,48,DB00470$h
DB00723,DB01366,48,DB01614$h
DB08880,DB01303,74,DB02709$h
DB00768,DB01026,46,DB00293$h
DB00699,DB00647,48,DB00640$t
DB12278,DB00647,48,DB04871$t
DB00336,DB00752,46,DB01161$h
DB00615,DB01184,3,DB00633$h
DB00184,DB04871,46,DB04711$h
DB01085,DB09118,72,DB00647$t
DB00699,DB00203,48,DB00441$t
DB00869,DB01211,46,DB00273$h
DB06201,DB01028,48,DB01022$h
DB00575,DB00843,53,DB00388$h
DB01161,DB00906,48,DB00441$h
DB00395,DB08933,72,DB13450$t
DB00502,DB00831,48,DB09069$t
DB00633,DB00906,48,DB00270$t
DB00633,DB00273,48,DB00236$h
DB00184,DB00752,46,DB09241$t
DB13025,DB13872,48,DB01122$h
DB00628,DB09009,48,DB01326$h
DB00356,DB00625,48,DB12278$h
DB01184,DB01211,72,DB01331$h
DB00814,DB01023,46,DB01583$h
DB09297,DB00203,46,DB06410$h
DB00293,DB00511,57,DB00430$t
DB00875,DB00608,19,DB02701$t
DB01351,DB00807,48,DB00869$t
DB00752,DB00625,48,DB00236$t
DB00321,DB11699,63,DB00448$t
DB00682,DB00675,5,DB00210$h
DB04743,DB00655,48,DB03756$t
DB01184,DB08873,72,DB04865$t
DB06826,DB09477,59,DB12278$t
DB00182,DB00575,59,DB00775$h
DB01600,DB01609,48,DB06155$h
DB01600,DB02709,48,DB01259$h
DB00318,DB00270,46,DB00328$t
DB00615,DB00916,3,DB01199$h
DB01184,DB09118,72,DB01019$h
DB00831,DB01614,48,DB04552$h
DB00395,DB00575,48,DB00236$h
DB00402,DB00420,48,DB00080$t
DB06414,DB00752,46,DB00318$h
DB01028,DB09039,46,DB08957$t
DB04896,DB06144,48,DB01162$h
DB01081,DB00625,48,DB01081$t
DB09555,DB00608,46,DB09041$t
DB00875,DB06282,48,DB01326$t
DB04844,DB01259,19,DB00710$h
DB04844,DB06282,48,DB01369$h
DB06201,DB01236,48,DB08930$t
DB00877,DB08882,74,DB01611$h
DB01320,DB00497,3,DB01026$h
DB01320,DB00553,3,DB01085$h
DB01236,DB00806,52,DB09396$h
DB00476,DB13025,48,DB01303$h
DB09396,DB01149,46,DB00658$t
DB00497,DB01028,48,DB08957$t
DB01184,DB00678,46,DB09342$t
DB00956,DB01351,15,DB00619$t
DB06654,DB08880,72,DB00655$t
DB00841,DB01021,82,DB09134$t
DB01268,DB04876,8,DB01000$h
DB00470,DB09048,72,DB01438$t
DB02709,DB01021,69,DB00843$h
DB01175,DB08918,48,DB11348$h
DB00831,DB05246,48,DB01331$t
DB00575,DB01021,59,DB00976$h
DB00296,DB09330,72,DB09167$h
DB09039,DB00203,72,DB09342$t
DB09396,DB08873,46,DB00768$t
DB00680,DB01433,59,DB08828$h
DB00647,DB09330,72,DB09267$t
DB04844,DB00476,46,DB00561$t
DB00870,DB00502,48,DB01236$t
DB00321,DB02703,72,DB00448$t
DB01233,DB01036,69,DB00575$h
DB00628,DB01595,48,DB00640$h
DB00178,DB01324,59,DB02701$h
DB00736,DB01149,46,DB09009$t
DB00497,DB00273,48,DB09396$h
DB00768,DB08933,72,DB01583$t
DB01131,DB01211,46,DB09147$t
DB01211,DB00976,19,DB01406$t
DB00628,DB00619,46,DB06781$t
DB01015,DB00678,46,DB01592$t
DB01320,DB06654,3,DB00514$h
DB01320,DB00678,3,DB06152$h
DB00384,DB00210,36,DB00420$t
DB09166,DB00768,48,DB00448$t
DB00296,DB09292,48,DB00606$t
DB00511,DB00976,72,DB01607$t
DB01600,DB04865,48,DB00854$t
DB00633,DB09009,48,DB09130$t
DB00818,DB00470,15,DB01058$t
DB01131,DB00184,46,DB13450$t
DB04743,DB01325,69,DB00184$h
DB04552,DB04743,48,DB01175$t
DB00250,DB02703,72,DB06729$h
DB00402,DB00768,48,DB00216$t
DB09143,DB00976,72,DB08880$t
DB00296,DB00203,46,DB00763$t
DB00216,DB01149,72,DB00378$t
DB00518,DB01026,46,DB12924$h
DB00502,DB01026,46,DB01303$t
DB01351,DB09009,48,DB01411$t
DB01615,DB00273,48,DB01268$t
DB01324,DB04896,54,DB00339$t
DB01609,DB04871,74,DB00619$h
DB01175,DB00745,46,DB09118$t
DB00244,DB00620,48,DB00511$h
DB00780,DB00925,59,DB00970$h
DB00203,DB01601,72,DB09015$t
DB01103,DB08933,72,DB00445$t
DB00682,DB00456,5,DB01058$h
DB00745,DB00203,46,DB00493$t
DB01615,DB00575,48,DB00216$t
DB01320,DB00575,3,DB02701$h
DB00854,DB05246,48,DB08933$t
DB01021,DB01199,72,DB01041$t
DB00850,DB00647,48,DB09048$h
DB06212,DB00976,72,DB06152$t
DB00682,DB01211,46,DB08873$t
DB00402,DB00976,46,DB06739$t
DB00575,DB01026,46,DB01609$h
DB06212,DB01015,72,DB00432$h
DB00497,DB09015,48,DB09278$t
DB00514,DB00736,46,DB01349$t
DB08880,DB00831,74,DB00216$t
DB00554,DB01609,72,DB00441$h
DB00608,DB00711,74,DB01058$h
DB00877,DB08916,74,DB01268$h
DB00178,DB00489,48,DB01191$t
DB00631,DB00489,48,DB00647$h
DB01609,DB01015,74,DB04711$h
DB00850,DB13025,48,DB01042$t
DB00210,DB01600,48,DB01021$h
DB00420,DB00489,59,DB01606$t
DB01216,DB00619,46,DB00497$t
DB00875,DB01601,32,DB00744$h
DB00889,DB08871,19,DB09009$t
DB00690,DB00854,48,DB11574$h
DB01195,DB09167,46,DB00640$t
DB09167,DB00476,63,DB00210$t
DB01026,DB00318,69,DB01591$h
DB00665,DB00273,46,DB09330$t
DB00617,DB01026,46,DB11106$h
DB00655,DB09048,72,DB00625$t
DB00876,DB00210,48,DB00080$h
DB00420,DB00875,48,DB00430$t
DB09292,DB06739,48,DB02546$t
DB00699,DB01259,48,DB09221$t
DB00752,DB00273,48,DB00178$t
DB00843,DB00619,46,DB00662$t
DB00296,DB01567,48,DB02701$t
DB00843,DB00608,46,DB01206$t
DB01085,DB00184,46,DB00763$t
DB01609,DB00470,74,DB09069$t
DB00655,DB00990,69,DB08957$h
DB00339,DB00270,46,DB06410$t
DB01351,DB00356,48,DB11596$t
DB00690,DB00575,48,DB00719$t
DB00606,DB08931,59,DB01236$t
DB00575,DB01324,59,DB11106$t
DB00420,DB00625,48,DB01000$h
DB00976,DB08933,72,DB09167$h
DB00780,DB08918,48,DB08889$h
DB00572,DB00854,48,DB00954$t
DB00402,DB08918,48,DB11560$t
DB01351,DB09477,59,DB00675$t
DB00384,DB01023,48,DB09015$h
DB00690,DB00427,48,DB00916$h
DB00631,DB08880,72,DB01058$h
DB06212,DB00270,72,DB00970$t
DB00655,DB00890,72,DB01595$t
DB13872,DB06282,48,DB01141$h
DB01015,DB09543,8,DB01162$h
DB01028,DB01614,48,DB06410$t
DB08918,DB09039,46,DB01183$t
DB09241,DB01175,63,DB00682$h
DB00420,DB13025,48,DB00577$t
DB00210,DB01324,69,DB01183$t
DB00476,DB00953,48,DB00456$t
DB01325,DB00476,54,DB01015$t
DB01041,DB01162,48,DB00215$t
DB01600,DB01325,69,DB00339$h
DB01236,DB00906,48,DB00203$h
DB00617,DB08933,72,DB00529$h
DB06781,DB01233,48,DB01204$h
DB00647,DB00203,46,DB01204$t
DB01036,DB00678,46,DB00236$t
DB01339,DB00497,48,DB00814$h
DB02709,DB01208,26,DB08930$t
DB09039,DB09118,72,DB00554$t
DB08905,DB01233,48,DB01583$h
DB01183,DB02703,72,DB00120$h
DB00690,DB01351,48,DB01299$h
DB00615,DB09330,74,DB00752$h
DB00296,DB01601,46,DB00803$t
DB01214,DB04552,36,DB06282$t
DB04552,DB01208,26,DB00427$t
DB01149,DB08882,72,DB06826$h
DB01236,DB00625,48,DB04844$h
DB00514,DB09039,46,DB00410$h
DB00489,DB08871,19,DB00497$h
DB00752,DB00906,48,DB11106$h
DB06212,DB01301,72,DB04871$t
DB01609,DB00339,74,DB00832$t
DB09241,DB01214,59,DB06819$h
DB00850,DB01433,48,DB00768$h
DB00201,DB09118,72,DB11106$h
DB00215,DB00273,72,DB01131$h
DB01614,DB06144,48,DB00561$h
DB00201,DB00625,46,DB00850$t
DB00628,DB00690,48,DB00546$t
DB01058,DB09048,72,DB01610$t
DB01214,DB00554,36,DB00318$t
DB00270,DB00384,48,DB01026$h
DB00384,DB09167,46,DB06739$t
DB01191,DB00420,46,DB05381$t
DB04844,DB00270,19,DB00990$h
DB00502,DB01587,48,DB00304$h
DB00869,DB01601,46,DB06826$h
DB00752,DB00395,48,DB01085$h
DB00752,DB00925,59,DB00250$t
DB00870,DB00655,48,DB01206$h
DB00402,DB01601,46,DB01615$t
DB09167,DB01366,48,DB00682$t
DB00655,DB06414,46,DB06201$t
DB06144,DB00502,46,DB00448$t
DB00502,DB01268,19,DB00620$h
DB06201,DB01219,48,DB00711$t
DB00215,DB08871,19,DB08800$t
DB00818,DB00768,48,DB09156$t
DB00620,DB01122,48,DB01219$t
DB01175,DB11699,63,DB08828$t
DB09241,DB00250,72,DB00178$t
DB00571,DB01162,29,DB00613$t
DB00502,DB00818,19,DB09477$h
DB00402,DB00497,48,DB02709$h
DB00470,DB00976,72,DB06201$t
DB00497,DB00850,48,DB09118$t
DB00384,DB00814,36,DB06144$t
DB06781,DB01208,48,DB01184$h
DB00675,DB00736,46,DB00388$t
DB00775,DB09543,48,DB00998$h
DB09396,DB09330,72,DB08871$h
DB00665,DB00625,46,DB00775$t
DB00956,DB00420,15,DB01331$h
DB00336,DB01601,46,DB01205$t
DB00427,DB00476,48,DB00216$t
DB06282,DB00619,46,DB00430$t
DB01614,DB00250,72,DB01131$h
DB00420,DB00613,72,DB00736$h
DB00831,DB00215,46,DB00662$h
DB01041,DB00402,15,DB08933$h
DB00690,DB00476,48,DB00751$t
DB04896,DB00956,63,DB00293$h
DB06212,DB02701,72,DB06739$h
DB00615,DB00201,3,DB00870$h
DB00843,DB01211,46,DB00956$t
DB01183,DB00678,46,DB01339$t
DB00497,DB00323,48,DB01349$t
DB01208,DB11348,66,DB00814$t
DB00571,DB09118,72,DB00328$t
DB01351,DB00682,3,DB01583$h
DB00818,DB00850,48,DB09211$h
DB00906,DB09118,72,DB00546$t
DB00625,DB05246,48,DB01141$t
DB00889,DB02703,72,DB06152$t
DB00831,DB09342,48,DB06819$t
DB11348,DB00841,69,DB02546$t
DB09555,DB00476,46,DB01022$t
DB06654,DB09118,72,DB00619$t
DB01161,DB05246,48,DB01093$h
DB00690,DB06282,48,DB00384$h
DB00402,DB01351,48,DB00665$t
DB01058,DB09118,72,DB00339$t
DB01411,DB09118,72,DB00323$h
DB06414,DB09167,46,DB04339$t
DB00608,DB09167,46,DB06654$t
DB00633,DB01615,48,DB00430$t
DB01325,DB08918,54,DB00511$h
DB01214,DB01085,48,DB00854$t
DB00807,DB09166,48,DB00675$t
DB00831,DB00250,72,DB09241$t
DB01195,DB00346,19,DB09396$t
DB08918,DB09118,72,DB04871$t
DB00336,DB01026,46,DB00395$t
DB01351,DB00215,48,DB09021$t
DB01320,DB08933,72,DB09015$h
DB00953,DB00998,48,DB00120$h
DB00178,DB01600,48,DB06201$h
DB09292,DB08880,48,DB00655$t
DB01567,DB13872,48,DB06261$h
DB00956,DB04844,15,DB04711$t
DB01567,DB00273,48,DB00441$h
DB06144,DB00273,48,DB09210$t
DB01028,DB01161,48,DB00870$t
DB00625,DB00976,46,DB00819$t
DB01268,DB00244,8,DB01162$t
DB00318,DB09009,48,DB01331$h
DB00723,DB01364,48,DB00619$h
DB00841,DB01364,48,DB01122$h
DB06781,DB01122,48,DB00608$t
DB01567,DB01219,48,DB00658$h
DB06212,DB11574,72,DB01175$h
DB01041,DB01320,15,DB00448$h
DB08877,DB00575,53,DB00976$t
DB01028,DB04896,48,DB06739$t
DB00877,DB01023,48,DB09488$h
DB00296,DB01149,46,DB11793$t
DB00296,DB00752,46,DB01591$t
DB01614,DB00395,48,DB09292$t
DB00470,DB06152,84,DB04339$h
DB06144,DB00356,48,DB00270$t
DB00427,DB01149,48,DB01036$t
DB00745,DB09048,72,DB06210$h
DB00818,DB01595,48,DB01015$h
DB00981,DB00392,69,DB00456$t
DB01320,DB06282,3,DB01583$h
DB01349,DB00210,48,DB00658$h
DB00497,DB00356,48,DB09297$h
DB00216,DB04896,48,DB00182$h
DB00323,DB01162,48,DB00615$h
DB00571,DB00215,46,DB09040$t
DB00682,DB01131,5,DB01021$h
DB06144,DB00752,46,DB00682$t
DB01175,DB13025,48,DB00775$h
DB00554,DB00814,48,DB00378$h
DB00876,DB01023,48,DB01041$t
DB01567,DB08918,48,DB00267$t
DB00184,DB00745,46,DB00889$t
DB00990,DB00976,46,DB00627$h
DB00216,DB11699,63,DB09039$h
DB00699,DB11574,48,DB00572$h
DB01041,DB09009,15,DB00976$t
DB09241,DB00841,48,DB09069$h
DB00620,DB00487,48,DB00877$h
DB00497,DB01081,48,DB09241$h
DB00615,DB00608,3,DB00953$h
DB00690,DB00906,48,DB00346$t
DB01199,DB01085,48,DB00493$h
DB00744,DB01021,69,DB08800$t
DB01149,DB01583,69,DB01199$t
DB08918,DB00633,84,DB09555$h
DB00489,DB00710,19,DB01022$t
DB00814,DB00625,46,DB09241$t
DB00631,DB00678,48,DB06261$t
DB00571,DB00678,48,DB01364$t
DB01595,DB08918,48,DB00378$t
DB00182,DB00752,46,DB09156$t
DB01601,DB01041,3,DB00807$h
DB08931,DB01149,46,DB01329$t
DB00608,DB04552,48,DB00625$t
DB01609,DB01216,74,DB01364$h
DB00745,DB09330,72,DB04876$h
DB09543,DB06781,48,DB00420$t
DB00628,DB00768,48,DB11106$t
DB01433,DB09166,48,DB04743$h
DB00768,DB00814,48,DB01205$t
DB00869,DB08933,72,DB08877$t
DB00571,DB00613,46,DB00819$t
DB06201,DB01081,48,DB01581$h
DB00831,DB01299,72,DB08877$t
DB06144,DB00575,48,DB09069$h
DB01463,DB01615,48,DB11586$h
DB03128,DB00752,46,DB01191$t
DB00392,DB12278,48,DB01085$h
DB08828,DB00625,46,DB01204$t
DB04844,DB00529,19,DB06201$h
DB00775,DB04743,5,DB08880$h
DB01600,DB00655,48,DB04911$t
DB00877,DB09477,48,DB01204$h
DB00336,DB04871,46,DB00430$t
DB01195,DB01259,19,DB00402$h
DB00554,DB00678,46,DB01600$t
DB09039,DB00318,69,DB06210$h
DB06210,DB09167,46,DB11596$h
DB00203,DB11586,72,DB00250$h
DB01023,DB01211,46,DB09166$t
DB00628,DB00850,48,DB09130$t
DB01600,DB04743,48,DB06155$h
DB13025,DB00575,48,DB00877$h
DB00608,DB00678,46,DB00339$t
DB01021,DB00572,72,DB11574$h
DB00210,DB00304,69,DB09221$t
DB01609,DB06414,74,DB09041$h
DB00678,DB01141,46,DB06414$t
DB01601,DB08871,19,DB00699$h
DB01233,DB04844,48,DB00216$t
DB00647,DB01161,48,DB00420$t
DB01349,DB00608,48,DB01019$t
DB00690,DB00875,48,DB00395$h
DB00814,DB01601,46,DB04896$t
DB01015,DB01211,46,DB06696$t
DB00323,DB01023,48,DB00682$t
DB00339,DB08873,46,DB09477$h
DB08880,DB00675,74,DB06193$h
DB01600,DB01046,69,DB00615$t
DB00854,DB00395,48,DB06826$t
DB01195,DB01015,19,DB00432$t
DB01175,DB01149,46,DB09267$h
DB00502,DB01015,19,DB01042$t
DB00613,DB05219,46,DB08873$t
DB00953,DB01615,48,DB00870$t
DB01036,DB00203,46,DB06144$t
DB01028,DB01364,81,DB00876$h
DB11574,DB00270,46,DB04844$h
DB00806,DB01324,59,DB00456$h
DB01041,DB00203,46,DB01583$t
DB00875,DB06144,48,DB00916$h
DB01028,DB00976,46,DB02709$h
DB06201,DB00427,48,DB00990$h
DB00215,DB04896,48,DB00718$h
DB00296,DB00807,48,DB00420$t
DB06212,DB00625,72,DB01183$h
DB00203,DB00497,48,DB00561$t
DB00617,DB00675,46,DB00420$h
DB00448,DB08931,74,DB01366$h
DB00608,DB01046,69,DB09167$h
DB08905,DB00511,57,DB00178$t
DB00296,DB00906,48,DB09156$h
DB00690,DB01161,48,DB01601$h
DB00346,DB09048,72,DB01433$t
DB08798,DB01015,46,DB00270$t
