Drug1_ID,Drug2_ID,Y,Neg samples
DB01178,DB00748,48,DB13139$t
DB00475,DB01563,48,DB06218$t
DB00943,DB00622,46,DB00163$t
DB00206,DB00887,48,DB00689$h
DB01221,DB01114,48,DB09214$t
DB00988,DB00705,46,DB01121$t
DB01248,DB00357,48,DB01252$t
DB00499,DB09073,72,DB09245$h
DB00788,DB09091,48,DB01194$t
DB00918,DB00409,48,DB06595$t
DB00315,DB00490,48,DB00500$t
DB00218,DB06825,19,DB00521$t
DB01247,DB01288,48,DB00307$t
DB00747,DB06204,15,DB00185$h
DB04948,DB09286,48,DB09101$t
DB00897,DB01104,48,DB12026$h
DB00295,DB00508,48,DB01576$h
DB06207,DB06694,59,DB00642$t
DB01132,DB00285,46,DB00974$h
DB01158,DB00436,53,DB09135$t
DB01558,DB00366,15,DB01424$t
DB01200,DB04898,72,DB01072$h
DB01234,DB00621,73,DB05039$t
DB00091,DB06737,56,DB01142$h
DB06207,DB00508,72,DB06804$h
DB01409,DB00857,46,DB00451$h
DB00394,DB01155,48,DB06202$h
DB00997,DB01234,72,DB08808$h
DB00559,DB00829,74,DB01074$h
DB01104,DB01589,72,DB00798$h
DB04948,DB09038,48,DB01251$t
DB00783,DB00284,69,DB00697$t
DB04794,DB00622,48,DB01066$t
DB00319,DB00919,74,DB01608$h
DB00358,DB04861,53,DB00361$h
DB00604,DB01319,46,DB00399$t
DB01227,DB00455,48,DB00359$h
DB01215,DB00892,48,DB00488$h
DB01071,DB00503,72,DB11613$t
DB00209,DB00483,48,DB01139$h
DB00309,DB01072,72,DB01066$h
DB00280,DB06700,8,DB01140$h
DB01029,DB00765,59,DB00179$h
DB01229,DB00357,48,DB09017$h
DB04272,DB01628,5,DB09414$h
DB00802,DB01297,53,DB00747$t
DB00962,DB11609,48,DB00762$h
DB00614,DB00195,59,DB00279$t
DB00898,DB00413,31,DB04861$t
DB01039,DB00283,46,DB05039$t
DB12598,DB00277,74,DB00548$h
DB01132,DB00834,72,DB00338$t
DB01200,DB06268,48,DB00844$h
DB00295,DB01012,46,DB00134$h
DB00298,DB00409,48,DB00618$t
DB00904,DB01124,46,DB00436$t
DB01200,DB00975,48,DB09322$h
DB01424,DB00322,46,DB11994$t
DB06216,DB08865,46,DB01400$h
DB00794,DB00455,3,DB06441$h
DB00344,DB01348,72,DB02638$t
DB00528,DB09038,48,DB00226$h
DB00648,DB09073,74,DB00549$h
DB09075,DB00179,5,DB06292$h
DB00708,DB00524,48,DB06769$t
DB00468,DB01171,8,DB00325$h
DB00371,DB01623,48,DB01240$h
DB00802,DB00335,53,DB09085$t
DB01181,DB00673,72,DB09245$h
DB01037,DB00208,46,DB01403$t
DB06684,DB01626,46,DB00646$h
DB01168,DB01274,48,DB06737$t
DB00679,DB09049,72,DB09198$t
DB09289,DB00313,72,DB00429$h
DB00401,DB01018,48,DB01215$t
DB00652,DB00985,48,DB00264$t
DB01416,DB01069,66,DB00928$t
DB00519,DB00337,48,DB06700$t
DB00951,DB08938,66,DB08806$t
DB00521,DB09080,13,DB01431$t
DB06288,DB00423,48,DB06637$h
DB12070,DB00503,46,DB00748$t
DB00292,DB06700,36,DB13153$t
DB06262,DB00370,36,DB00684$h
DB09275,DB00317,74,DB00320$t
DB00972,DB00936,48,DB01436$h
DB00679,DB00313,48,DB01045$t
DB01067,DB01039,8,DB08820$h
DB00308,DB00938,19,DB02187$h
DB00500,DB01059,26,DB13783$t
DB09244,DB09082,48,DB01197$h
DB00899,DB00975,48,DB01579$t
DB06736,DB00582,46,DB00594$h
DB00457,DB01240,59,DB01017$h
DB01166,DB00909,72,DB04898$t
DB00309,DB00196,72,DB01393$h
DB06694,DB01297,24,DB09128$h
DB01410,DB06710,73,DB08958$t
DB01297,DB09288,36,DB00512$t
DB01100,DB06697,32,DB00014$h
DB00687,DB01420,73,DB00243$t
DB00449,DB00880,82,DB00866$h
DB00788,DB01024,48,DB03619$h
DB01240,DB01029,46,DB13153$t
DB00252,DB01393,3,DB06196$t
DB00567,DB00363,46,DB01370$h
DB00909,DB01080,48,DB06267$t
DB00278,DB09075,5,DB00274$t
DB00281,DB00660,48,DB11915$t
DB09053,DB04946,72,DB00401$h
DB09270,DB00501,72,DB02659$h
DB00897,DB08922,48,DB06710$h
DB00333,DB00404,15,DB08874$t
DB00477,DB06636,46,DB00692$t
DB00683,DB01452,48,DB01409$t
DB00835,DB00622,46,DB09257$t
DB06684,DB00391,48,DB01034$t
DB01020,DB00320,46,DB11121$t
DB00498,DB00932,5,DB09085$t
DB13167,DB00884,48,DB01010$h
DB00261,DB00743,19,DB00462$t
DB01370,DB00859,74,DB00314$h
DB09117,DB00370,15,DB00595$h
DB08899,DB00285,74,DB09060$t
DB09078,DB06636,46,DB00857$t
DB00636,DB01238,74,DB01063$h
DB06725,DB00596,48,DB00692$t
DB06267,DB09054,46,DB01140$t
DB01399,DB01380,48,DB00253$h
DB11921,DB00887,82,DB08869$h
DB00801,DB09068,48,DB00717$t
DB04868,DB00227,46,DB04868$t
DB02513,DB07615,48,DB01077$t
DB09561,DB01370,66,DB00924$h
DB09345,DB01068,48,DB00177$t
DB00909,DB00208,46,DB00863$t
DB00939,DB01708,48,DB00610$t
DB01165,DB00334,19,DB08896$t
DB01069,DB01621,48,DB00896$t
DB01192,DB00434,48,DB00205$h
DB00479,DB00500,71,DB00379$h
DB06605,DB04951,5,DB00302$h
DB08814,DB00975,5,DB01218$h
DB00705,DB06702,76,DB00747$t
DB00248,DB00391,69,DB06603$h
DB06711,DB01151,36,DB03619$h
DB00591,DB05521,74,DB09256$h
DB00936,DB00381,48,DB00397$t
DB09068,DB00423,48,DB01168$h
DB00292,DB00980,48,DB06701$t
DB01228,DB00932,46,DB00232$t
DB01054,DB01319,46,DB00380$h
DB00179,DB11660,69,DB01033$h
DB00919,DB01250,71,DB01067$t
DB00500,DB08819,69,DB01129$h
DB09286,DB00999,48,DB00586$t
DB00187,DB00966,48,DB00555$t
DB00187,DB00700,48,DB01099$h
DB00601,DB00696,48,DB00602$h
DB01090,DB01338,48,DB00457$t
DB00227,DB00283,46,DB01127$t
DB08899,DB12332,74,DB09042$t
DB00949,DB01242,48,DB01092$t
DB05541,DB08820,72,DB01577$h
DB03585,DB01260,48,DB00860$h
DB08899,DB01319,74,DB01181$h
DB00498,DB01240,5,DB01073$h
DB00922,DB00195,48,DB07615$h
DB00738,DB01244,48,DB00610$h
DB00539,DB00661,46,DB00035$h
DB01577,DB01075,46,DB01247$h
DB01169,DB00590,48,DB00452$h
DB00243,DB01115,72,DB00837$t
DB07615,DB00896,48,DB01035$h
DB00379,DB00224,46,DB01604$t
DB00801,DB04946,48,DB08984$t
DB00648,DB00822,74,DB01007$t
DB01355,DB01685,46,DB00697$t
DB01229,DB08816,46,DB01392$t
DB00312,DB00390,3,DB01138$h
DB00176,DB00484,15,DB00666$t
DB08868,DB06595,46,DB08819$t
DB00440,DB00208,46,DB00660$t
DB00896,DB00220,72,DB05271$h
DB00421,DB00691,48,DB01319$h
DB01114,DB01167,46,DB01088$t
DB00696,DB00762,48,DB00363$h
DB00559,DB00472,74,DB00235$h
DB06145,DB00263,46,DB00330$t
DB08875,DB00468,46,DB00515$h
DB00477,DB09236,48,DB04575$h
DB01501,DB04953,48,DB00468$h
DB00295,DB01588,48,DB11342$h
DB01136,DB00300,46,DB00460$t
DB01110,DB00320,46,DB00196$h
DB00381,DB01193,48,DB01142$t
DB00217,DB01340,59,DB00792$h
DB00908,DB00224,72,DB01407$t
DB00643,DB01264,46,DB06203$t
DB00872,DB00248,72,DB00310$h
DB00226,DB01029,59,DB00438$t
DB00872,DB00530,72,DB06706$h
DB06789,DB06290,72,DB05630$h
DB00390,DB00705,46,DB00537$h
DB09345,DB01235,48,DB09075$h
DB06196,DB00547,48,DB00462$h
DB01223,DB04573,72,DB00560$t
DB11828,DB00661,46,DB00548$t
DB00679,DB01059,19,DB00946$h
DB04898,DB00582,46,DB06288$t
DB00434,DB04953,48,DB01619$h
DB06335,DB04576,8,DB00227$h
DB01142,DB06595,46,DB01427$t
DB01012,DB08865,46,DB01024$t
DB06196,DB00635,48,DB00263$h
DB01155,DB01142,19,DB09060$h
DB08897,DB00899,48,DB11691$h
DB00978,DB00238,46,DB01221$t
DB00867,DB01064,48,DB06216$h
DB00652,DB00887,48,DB00426$t
DB04846,DB13139,13,DB01104$h
DB00918,DB00622,46,DB00684$t
DB06792,DB00691,74,DB00338$h
DB00593,DB04908,48,DB01407$h
DB01393,DB06717,72,DB00871$h
DB00852,DB00932,46,DB00746$t
DB00757,DB04855,46,DB00545$t
DB08899,DB06789,74,DB00809$h
DB00373,DB00598,29,DB09120$t
DB00660,DB01104,48,DB01164$h
DB06594,DB00188,72,DB00688$h
DB00188,DB00951,46,DB00686$t
DB01394,DB00584,72,DB01180$h
DB00852,DB06595,46,DB00394$t
DB00543,DB00701,72,DB00937$t
DB01207,DB01296,52,DB01435$h
DB01427,DB00325,59,DB00291$t
DB00591,DB04573,72,DB09080$t
DB06770,DB00181,48,DB01050$h
DB06737,DB00663,48,DB09214$h
DB01127,DB00528,48,DB01431$h
DB08807,DB01009,36,DB00964$t
DB00006,DB08797,5,DB00537$t
DB00755,DB00359,46,DB04575$t
DB00937,DB00370,75,DB01263$t
DB00692,DB09286,48,DB00928$t
DB00778,DB00343,46,DB00228$t
DB00238,DB00185,3,DB01073$h
DB01590,DB00295,72,DB04878$h
DB09079,DB00320,72,DB13179$h
DB01424,DB06595,46,DB11315$t
DB08901,DB00091,46,DB01089$t
DB00257,DB00401,48,DB01210$t
DB00694,DB01076,48,DB01013$t
DB01221,DB00344,48,DB00219$t
DB00726,DB00748,48,DB00152$h
DB09245,DB00381,59,DB02638$h
DB01020,DB08820,72,DB01626$h
DB09280,DB06603,74,DB01173$t
DB08881,DB00381,74,DB09220$t
DB00750,DB01002,48,DB00290$h
DB06802,DB08906,48,DB01377$t
DB01558,DB12332,46,DB00959$t
DB00335,DB08822,48,DB01061$t
DB00802,DB00246,46,DB01249$t
DB08901,DB01167,72,DB00961$h
DB09049,DB01016,72,DB00376$h
DB01618,DB01068,48,DB00235$h
DB01151,DB06203,72,DB00512$t
DB00495,DB01097,46,DB06616$h
DB00498,DB09270,11,DB01130$t
DB01440,DB00366,15,DB00778$h
DB09078,DB00927,19,DB00488$h
DB00679,DB08907,48,DB09212$h
DB01397,DB08819,69,DB00900$h
DB12483,DB00661,46,DB01217$t
DB00450,DB09083,19,DB06218$h
DB00645,DB09286,48,DB00035$t
DB06335,DB09054,72,DB06216$h
DB00231,DB06413,46,DB11575$t
DB09027,DB06290,72,DB00591$h
DB01624,DB01466,48,DB01222$t
DB00883,DB00320,46,DB00833$t
DB01558,DB04855,46,DB00153$t
DB09288,DB06786,48,DB00325$t
DB08922,DB00697,48,DB00779$h
DB00195,DB01340,48,DB00472$t
DB00227,DB00881,72,DB00964$t
DB00325,DB00800,59,DB06589$t
DB00387,DB00517,48,DB00759$h
DB00623,DB09286,48,DB00310$h
DB00559,DB01551,74,DB00411$t
DB01429,DB09065,72,DB01142$t
DB00520,DB04920,48,DB00967$h
DB01466,DB00241,48,DB08807$h
DB00899,DB01018,48,DB09257$h
DB11575,DB04868,46,DB01154$h
DB00539,DB06825,19,DB00303$h
DB00327,DB00503,46,DB13879$h
DB01452,DB00747,48,DB12267$t
DB00418,DB00598,59,DB11817$h
DB01545,DB00484,15,DB01121$h
DB09119,DB00294,74,DB08913$t
DB08815,DB04953,48,DB09030$h
DB04861,DB08984,36,DB00611$t
DB05676,DB00588,48,DB11921$h
DB00903,DB00390,48,DB00896$h
DB00257,DB00364,66,DB00513$t
DB00512,DB00605,72,DB00726$h
DB00454,DB01239,48,DB05239$h
DB00795,DB09218,48,DB09146$t
DB01126,DB01319,46,DB01010$h
DB00759,DB04868,46,DB00983$t
DB09093,DB08938,66,DB01053$h
DB01227,DB00181,48,DB01194$t
DB00434,DB00484,15,DB00872$t
DB09281,DB00860,2,DB04908$t
DB01156,DB00907,46,DB05271$t
DB01201,DB01173,3,DB01403$h
DB09075,DB00845,72,DB04894$h
DB00188,DB01241,46,DB00230$t
DB01002,DB01106,48,DB06595$h
DB00332,DB06702,48,DB06800$t
DB00187,DB00703,48,DB01589$h
DB08976,DB06737,48,DB01243$h
DB06616,DB01115,72,DB00181$t
DB00788,DB00238,46,DB13874$t
DB00492,DB09070,59,DB01095$h
DB00474,DB01169,59,DB09322$t
DB01086,DB01178,48,DB00585$t
DB09269,DB01092,57,DB00963$t
DB01359,DB01580,59,DB00660$h
DB00661,DB01254,72,DB00158$h
DB09570,DB00412,46,DB09449$t
DB01074,DB00195,46,DB00362$h
DB00809,DB01337,48,DB11660$t
DB00881,DB01340,48,DB06589$h
DB00846,DB00695,82,DB00669$h
DB00648,DB08815,74,DB00176$h
DB00320,DB09244,46,DB00136$t
DB01392,DB06595,46,DB01397$t
DB00428,DB00390,57,DB00277$t
DB12598,DB00873,48,DB11093$h
DB00672,DB00817,8,DB09274$t
DB00909,DB01264,46,DB01135$t
DB00227,DB01319,72,DB00408$t
DB00623,DB01198,48,DB00979$t
DB00809,DB01466,48,DB00706$t
DB00663,DB00220,72,DB00836$h
DB00245,DB00809,48,DB11943$h
DB01440,DB01623,48,DB00592$h
DB01418,DB00364,11,DB00549$h
DB00452,DB08984,71,DB09268$t
DB01100,DB01221,48,DB00479$t
DB00276,DB09238,46,DB06694$t
DB00648,DB00370,74,DB00944$h
DB01159,DB00421,48,DB00694$h
DB00461,DB09120,46,DB09277$h
DB00530,DB09120,46,DB00795$t
DB01353,DB06288,48,DB00163$t
DB06209,DB00758,46,DB00731$h
DB01203,DB00411,48,DB00239$t
DB12070,DB00472,46,DB01420$h
DB09076,DB08881,72,DB00857$t
DB09279,DB00486,48,DB00703$h
DB09230,DB01095,48,DB11156$t
DB08797,DB09288,48,DB00635$h
DB00294,DB00320,46,DB00985$t
DB00936,DB01013,48,DB00686$t
DB00686,DB00573,5,DB00838$h
DB08881,DB01179,74,DB00353$h
DB00220,DB00367,74,DB00934$h
DB00564,DB09128,74,DB00327$h
DB09076,DB00349,46,DB01167$t
DB09027,DB00234,72,DB00158$t
DB00570,DB00673,72,DB00919$h
DB00945,DB00223,48,DB09096$t
DB01410,DB09220,48,DB05528$t
DB00418,DB08808,74,DB00517$h
DB00974,DB00573,5,DB01241$h
DB04946,DB05812,72,DB00204$h
DB00899,DB00771,48,DB00303$t
DB00772,DB00960,53,DB06616$h
DB01127,DB01076,48,DB01142$t
DB00477,DB00199,19,DB01223$t
DB00393,DB00654,59,DB06237$t
DB09183,DB00472,46,DB11943$h
DB00921,DB01168,48,DB00772$t
DB06697,DB00196,19,DB06403$t
DB01221,DB01558,48,DB01207$h
DB06738,DB00540,48,DB04948$h
DB00436,DB01197,48,DB13595$t
DB09289,DB01291,48,DB00308$h
DB08976,DB06786,48,DB00169$h
DB00344,DB00490,48,DB06288$t
DB00784,DB00468,46,DB01252$t
DB01174,DB00344,3,DB09117$h
DB01400,DB00187,53,DB00289$h
DB06786,DB04575,72,DB01112$t
DB00240,DB09070,72,DB11989$h
DB00908,DB01151,19,DB11614$h
DB00842,DB00423,48,DB01245$t
DB00683,DB06203,72,DB00170$t
DB00589,DB00531,48,DB01057$t
DB06716,DB06700,48,DB01064$t
DB00762,DB09065,72,DB01057$h
DB06267,DB09070,9,DB00900$h
DB00887,DB01203,48,DB00474$t
DB00611,DB00252,48,DB01559$h
DB00564,DB01086,48,DB01424$h
DB09570,DB01263,46,DB08932$h
DB00801,DB12532,48,DB06786$t
DB01172,DB00390,74,DB09220$h
DB00921,DB00611,15,DB00503$h
DB01551,DB08893,46,DB01100$t
DB06480,DB00220,72,DB00397$t
DB09027,DB00934,72,DB00784$t
DB05541,DB06636,46,DB01100$h
DB00712,DB00257,46,DB00500$t
DB06725,DB09198,46,DB00271$h
DB00261,DB00334,19,DB00859$t
DB00735,DB00861,48,DB00467$t
DB06738,DB00227,46,DB06713$t
DB00390,DB06636,72,DB00949$t
DB00396,DB04878,69,DB09065$h
DB00444,DB09065,46,DB08804$t
DB00936,DB00860,48,DB08974$t
DB01098,DB00316,72,DB00230$t
DB00482,DB00399,48,DB06707$t
DB09216,DB00741,48,DB09119$h
DB09289,DB09082,48,DB01221$h
DB13783,DB01158,69,DB13139$t
DB06335,DB01044,8,DB09101$h
DB01104,DB01254,72,DB01173$t
DB09049,DB08816,72,DB00426$h
DB06594,DB01242,48,DB04573$t
DB00932,DB00313,74,DB06766$t
DB09218,DB00467,26,DB00899$t
DB04835,DB09073,72,DB09095$h
DB00214,DB00284,69,DB00951$t
DB01050,DB01410,48,DB03615$h
DB00637,DB09063,72,DB09269$h
DB01200,DB00467,8,DB06794$h
DB00295,DB00849,48,DB00980$h
DB00425,DB00413,31,DB00498$t
DB00327,DB00228,48,DB00398$h
DB06616,DB00810,72,DB00191$t
DB00603,DB01124,69,DB01092$h
DB08897,DB00844,48,DB09020$t
DB00804,DB11315,48,DB00385$t
DB01418,DB01016,5,DB06401$h
DB04272,DB00586,5,DB09288$h
DB00636,DB00176,46,DB00091$t
DB13139,DB01076,48,DB09084$t
DB01050,DB01241,46,DB00855$h
DB01367,DB01393,48,DB01139$t
DB13783,DB02187,48,DB01390$t
DB00861,DB00959,48,DB01420$t
DB00266,DB00788,5,DB11614$h
DB08815,DB04868,72,DB12001$t
DB00313,DB01104,46,DB00605$t
DB09214,DB00586,48,DB01201$t
DB01253,DB01384,48,DB00231$t
DB00672,DB01580,8,DB01172$t
DB00860,DB00503,72,DB06766$t
DB01201,DB01136,3,DB01247$h
DB01091,DB09232,48,DB00440$h
DB00555,DB00285,48,DB08907$h
DB08991,DB01384,48,DB00810$h
DB01203,DB02638,59,DB00387$h
DB01264,DB00255,74,DB00581$t
DB00753,DB06738,48,DB06016$t
DB00624,DB04868,46,DB08941$t
DB00186,DB00801,48,DB01084$t
DB00896,DB00880,82,DB00865$h
DB01399,DB06725,48,DB05990$t
DB00385,DB01401,71,DB00672$h
DB00862,DB01119,9,DB01102$h
DB00821,DB08991,48,DB00629$t
DB00945,DB09449,56,DB13874$h
DB00309,DB00263,72,DB08910$t
DB01355,DB00964,59,DB01685$h
DB00959,DB00343,46,DB00349$t
DB06148,DB00257,46,DB13879$h
DB01034,DB09227,48,DB00592$h
DB00337,DB01059,26,DB00295$h
DB00295,DB00371,48,DB01035$h
DB00325,DB00703,48,DB00411$h
DB01203,DB01136,29,DB00766$t
DB01429,DB06697,46,DB00795$t
DB01248,DB04894,48,DB09209$h
DB00468,DB00722,59,DB00227$h
DB06616,DB06742,72,DB04574$t
DB00721,DB00726,48,DB11614$h
DB00472,DB09078,19,DB09161$h
DB08932,DB01319,46,DB00223$t
DB01340,DB00783,74,DB08993$h
DB00945,DB00324,48,DB00839$h
DB01247,DB00679,48,DB01627$h
DB00865,DB06764,48,DB00669$h
DB01203,DB00989,53,DB00035$h
DB00679,DB00436,48,DB00624$h
DB06616,DB00590,72,DB00829$h
DB00294,DB01016,69,DB06730$h
DB00794,DB00325,59,DB06707$t
DB00872,DB06209,72,DB00434$t
DB08932,DB00188,46,DB09283$h
DB13874,DB06335,74,DB00519$h
DB00589,DB01321,48,DB00219$t
DB00829,DB00320,46,DB00278$t
DB08827,DB12332,72,DB01437$t
DB00295,DB00865,68,DB00760$t
DB00611,DB01037,48,DB00537$h
DB06216,DB00754,48,DB01107$h
DB00280,DB01059,19,DB08967$t
DB00264,DB00938,13,DB00996$t
DB00657,DB00700,48,DB06771$t
DB09227,DB00661,48,DB00488$h
DB08820,DB00263,72,DB00635$h
DB01403,DB09291,46,DB00946$t
DB01215,DB06770,48,DB09389$h
DB01054,DB09112,48,DB04835$h
DB00363,DB01239,48,DB11614$t
DB06738,DB00834,72,DB00987$t
DB01253,DB00298,48,DB01048$t
DB01242,DB00881,72,DB02959$h
DB00937,DB00585,75,DB00370$h
DB00295,DB00254,46,DB01421$t
DB01227,DB01255,68,DB00797$h
DB00247,DB05521,48,DB06209$h
DB00186,DB00450,15,DB00999$h
DB09280,DB06209,74,DB13323$t
DB00599,DB01106,48,DB01129$t
DB00312,DB00663,74,DB01084$h
DB00865,DB00224,46,DB06711$t
DB09279,DB01612,48,DB01260$h
DB00570,DB01167,72,DB00960$t
DB00844,DB00176,48,DB01251$t
DB00933,DB00472,46,DB00794$t
DB00556,DB00656,19,DB11994$h
DB08897,DB01227,48,DB00740$h
DB09034,DB00285,72,DB00820$t
DB01154,DB00957,69,DB00604$h
DB00542,DB01340,48,DB08826$h
DB06802,DB09449,56,DB01545$h
DB00482,DB06700,52,DB04930$t
DB00519,DB00800,59,DB00952$t
DB00222,DB01095,46,DB00187$t
DB00924,DB01159,48,DB01171$h
DB13167,DB01137,26,DB00285$t
DB01577,DB00805,70,DB01421$t
DB11148,DB00450,15,DB09079$h
DB00679,DB00997,72,DB01165$h
DB00245,DB11609,48,DB00537$t
DB00245,DB00967,48,DB01501$t
DB01367,DB08941,48,DB09162$h
DB00607,DB06694,3,DB09091$h
DB00503,DB06603,72,DB00794$h
DB01099,DB09238,48,DB01708$t
DB00905,DB00968,59,DB08826$h
DB01186,DB01138,48,DB00477$h
DB01165,DB01069,19,DB00920$t
DB00564,DB01263,3,DB01050$h
DB01114,DB00496,46,DB00677$t
DB00991,DB00929,69,DB06799$h
DB00418,DB00652,48,DB11156$h
DB00207,DB00557,19,DB11737$h
DB00247,DB13139,48,DB01337$h
DB00672,DB09244,8,DB00747$h
DB00743,DB01104,19,DB00917$h
DB06736,DB00208,46,DB00928$t
